Date ,hdfc,asian_paint,Nifty
01-Apr-20,1583.5,1603.2,8253.8
03-Apr-20,1499.55,1520.9,8083.8
07-Apr-20,1555.15,1623.8,8792.2
08-Apr-20,1558.8,1608.95,8748.75
09-Apr-20,1703.1,1651.35,9111.9
13-Apr-20,1655.2,1680.85,8993.85
15-Apr-20,1596.3,1718.2,8925.3
16-Apr-20,1625.75,1743.1,8992.8
17-Apr-20,1680.6,1756.25,9266.75
20-Apr-20,1727.7,1730.45,9261.85
21-Apr-20,1669.7,1726,8981.45
22-Apr-20,1664.15,1813,9187.3
23-Apr-20,1663.45,1821.65,9313.9
24-Apr-20,1580.3,1827.55,9154.4
27-Apr-20,1591.45,1851.35,9282.3
28-Apr-20,1715.8,1824.4,9380.9
29-Apr-20,1836.75,1767.5,9553.35
30-Apr-20,1916,1758.7,9859.9
04-May-20,1724.35,1676.8,9293.5
05-May-20,1689.9,1619.15,9205.6
06-May-20,1732.15,1610.65,9270.9
07-May-20,1703.9,1594.3,9199.05
08-May-20,1689.7,1578.4,9251.5
11-May-20,1658.45,1569.6,9239.2
12-May-20,1674.1,1523.35,9196.55
13-May-20,1712.75,1563.3,9383.55
14-May-20,1632.4,1522.4,9142.75
15-May-20,1633.8,1552.95,9136.85
18-May-20,1512.05,1501.1,8823.25
19-May-20,1539.85,1503.95,8879.1
20-May-20,1627,1500.05,9066.55
21-May-20,1597.3,1574.3,9106.25
22-May-20,1516.15,1617.9,9039.25
26-May-20,1502.15,1629.85,9029.05
27-May-20,1570.4,1619.45,9314.95
28-May-20,1623.7,1643.6,9490.1
29-May-20,1658.9,1683.1,9580.3
01-Jun-20,1737.7,1693.25,9826.15
02-Jun-20,1813.55,1709.3,9979.1
03-Jun-20,1835.65,1716.55,10061.55
04-Jun-20,1764.3,1633.75,10029.1
05-Jun-20,1766.6,1638.55,10142.15
08-Jun-20,1760.8,1634.25,10167.45
09-Jun-20,1772.1,1642.05,10046.65
10-Jun-20,1809.3,1635.95,10116.15
11-Jun-20,1787.45,1610.6,9902
12-Jun-20,1792.2,1637.35,9972.9
15-Jun-20,1751.65,1618.2,9813.7
16-Jun-20,1821.9,1621.7,9914
17-Jun-20,1794.65,1595.4,9881.15
18-Jun-20,1855.95,1597.8,10091.65
19-Jun-20,1835.1,1622.5,10244.4
22-Jun-20,1819.4,1652.15,10311.2
23-Jun-20,1838.1,1683.9,10471
24-Jun-20,1797.75,1747.25,10305.3
25-Jun-20,1777.8,1689,10288.9
26-Jun-20,1769.35,1686.75,10383
29-Jun-20,1741.15,1691.95,10312.4
30-Jun-20,1754.65,1687.45,10302.1
01-Jul-20,1835.15,1688,10430.05
02-Jul-20,1889.45,1686.45,10551.7
03-Jul-20,1885.2,1695.65,10607.35
06-Jul-20,1868.7,1708.85,10763.65
07-Jul-20,1886.75,1745.75,10799.65
08-Jul-20,1886.05,1686.25,10705.75
09-Jul-20,1941.85,1717.25,10813.45
10-Jul-20,1886,1703.5,10768.05
13-Jul-20,1845.55,1705.65,10802.7
14-Jul-20,1791.6,1688.4,10607.35
15-Jul-20,1789.9,1671.65,10618.2
16-Jul-20,1787.8,1693.2,10739.95
17-Jul-20,1805.85,1717.9,10901.7
20-Jul-20,1806.05,1751.6,11022.2
21-Jul-20,1883.65,1724.25,11162.25
22-Jul-20,1881.05,1695.75,11132.6
23-Jul-20,1875.8,1727.8,11215.45
24-Jul-20,1841.3,1712.05,11194.15
27-Jul-20,1850.75,1778.15,11131.8
28-Jul-20,1897.35,1759.65,11300.55
29-Jul-20,1877.3,1740.15,11202.85
30-Jul-20,1810.65,1743.35,11102.15
31-Jul-20,1781.95,1715.5,11073.45
03-Aug-20,1739.8,1705.5,10891.6
04-Aug-20,1781.1,1713.95,11095.25
05-Aug-20,1776.7,1716.3,11101.65
06-Aug-20,1783.75,1727.55,11200.15
07-Aug-20,1777.7,1806.25,11214.05
10-Aug-20,1798.95,1782.35,11270.15
11-Aug-20,1826.75,1789.55,11322.5
12-Aug-20,1814.2,1797.25,11308.4
13-Aug-20,1804.85,1802.55,11300.45
14-Aug-20,1791.7,1802.55,11178.4
17-Aug-20,1800.55,1836.7,11247.1
